srcIP	dstIP	srcPort	dstPort	protocol	timeStamp	add/rmv
176283407	1961331419	62629	41487	17	1709879374	1
176283407	1961331419	62629	38721	17	1709879374	1
1961331419	176283407	41487	62629	17	1709879374	1
176283407	1912322473	62629	12229	17	1709879374	1
1857352923	176283407	33708	62629	17	1709879374	0
176283407	1857352923	62629	33708	17	1709879374	0
176283407	1974287414	62629	60375	17	1709879374	0
1863467975	176283407	7467	62629	17	1709879374	0
176283407	1863467975	62629	7467	17	1709879374	0
3745721845	176283407	1295	62629	17	1709879374	0
176283407	3745721845	62629	1295	17	1709879374	0
1974933900	176283407	5427	62629	17	1709879375	1
176283407	1974933900	62629	5427	17	1709879375	1
176283407	1912322473	62629	10424	17	1709879375	0
1912322473	176283407	10424	62629	17	1709879375	0
176283407	1961331419	62629	41487	17	1709879375	0
176283407	1961331419	62629	38721	17	1709879375	0
1961331419	176283407	41487	62629	17	1709879375	0
176283407	1912322473	62629	12229	17	1709879375	0
1974287414	176283407	60375	62629	17	1709879376	1
176283407	1974287414	62629	60375	17	1709879376	1
143002614	176283407	3478	62629	17	1709879376	1
176283407	143002614	62629	3478	17	1709879376	1
1974933900	176283407	5427	62629	17	1709879376	0
176283407	1974933900	62629	5427	17	1709879376	0
1863467975	176283407	7467	62629	17	1709879377	1
176283407	1863467975	62629	7467	17	1709879377	1
1929246386	176283407	33372	62629	17	1709879377	1
176283407	1929246386	62629	33372	17	1709879377	1
1912271654	176283407	12167	62629	17	1709879377	1
176283407	1912271654	62629	12167	17	1709879377	1
2869505165	176283407	13824	62629	17	1709879377	1
176283407	2869505165	62629	13824	17	1709879377	1
1974287414	176283407	60375	62629	17	1709879377	0
176283407	1974287414	62629	60375	17	1709879377	0
143002614	176283407	3478	62629	17	1709879377	0
176283407	143002614	62629	3478	17	1709879377	0
1851316228	176283407	33676	62629	17	1709879378	1
176283407	1851316228	62629	33676	17	1709879378	1
2043441168	176283407	32287	62629	17	1709879378	1
176283407	2043441168	62629	32287	17	1709879378	1
1912322473	176283407	10424	62629	17	1709879378	1
1974287414	176283407	60375	62629	17	1709879378	1
1961331419	176283407	41487	62629	17	1709879378	1
2569337882	176283407	1177	62629	17	1709879378	1
1881743130	176283407	1124	62629	17	1709879378	1
176283407	1961331419	62629	41487	17	1709879378	1
176283407	1912322473	62629	10424	17	1709879378	1
176283407	1974287414	62629	60375	17	1709879378	1
176283407	1881743130	62629	1124	17	1709879378	1
176283407	2569337882	62629	1177	17	1709879378	1
1969083976	176283407	30258	62629	17	1709879378	1
176283407	1969083976	62629	30258	17	1709879378	1
